elapsed_seconds,nvidia_timestamp,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_draw_w,power_limit_w,gpu_utilization_percent,memory_used_mib,memory_total_mib
60.70607789999849,2026/09/10 17:14:03.710,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,72,449.69,450.00,100,1604,24564
65.76503509999748,2026/09/10 17:14:08.769,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,73,450.30,450.00,100,1604,24564
70.82636929999717,2026/09/10 17:14:13.830,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,73,448.65,450.00,100,1604,24564
75.88831269999719,2026/09/10 17:14:18.891,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,74,449.57,450.00,100,1604,24564
80.94966740000018,2026/09/10 17:14:23.953,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,74,449.55,450.00,100,1604,24564
85.99818529999902,2026/09/10 17:14:29.001,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,75,449.87,450.00,100,1604,24564
91.06089529999736,2026/09/10 17:14:34.064,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,450.17,450.00,100,1604,24564
96.12190980000014,2026/09/10 17:14:39.125,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,75,449.19,450.00,100,1604,24564
101.18086199999743,2026/09/10 17:14:44.184,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,75,449.76,450.00,100,1604,24564
106.24110469999869,2026/09/10 17:14:49.244,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,448.49,450.00,100,1604,24564
111.2882049999971,2026/09/10 17:14:54.291,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.05,450.00,100,1604,24564
116.35249479999766,2026/09/10 17:14:59.355,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,449.57,450.00,100,1604,24564
121.41284079999969,2026/09/10 17:15:04.416,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.31,450.00,100,1604,24564
126.47118179999961,2026/09/10 17:15:09.474,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.43,450.00,100,1604,24564
131.53192729999864,2026/09/10 17:15:14.535,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,449.44,450.00,100,1604,24564
136.59185069999876,2026/09/10 17:15:19.595,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,77,450.62,450.00,100,1604,24564
141.65305669999725,2026/09/10 17:15:24.656,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,448.74,450.00,100,1604,24564
146.71417389999988,2026/09/10 17:15:29.717,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,448.46,450.00,100,1604,24564
151.7741016,2026/09/10 17:15:34.777,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,449.92,450.00,100,1604,24564
156.83593029999975,2026/09/10 17:15:39.839,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,448.04,450.00,100,1604,24564
161.89337239999804,2026/09/10 17:15:44.896,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,450.67,450.00,100,1604,24564
166.95206549999784,2026/09/10 17:15:49.955,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,77,448.78,450.00,100,1604,24564
172.01277239999763,2026/09/10 17:15:55.015,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,77,449.31,450.00,100,1604,24564
177.07453389999864,2026/09/10 17:16:00.077,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,77,450.58,450.00,100,1604,24564
182.12314499999775,2026/09/10 17:16:05.125,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,77,450.72,450.00,100,1604,24564
187.17124139999942,2026/09/10 17:16:10.174,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,448.31,450.00,100,1604,24564
192.2299518999971,2026/09/10 17:16:15.233,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,77,449.33,450.00,100,1604,24564
197.29140629999893,2026/09/10 17:16:20.294,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,77,448.82,450.00,100,1604,24564
202.3508804999983,2026/09/10 17:16:25.353,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,77,448.83,450.00,100,1604,24564
207.39975589999813,2026/09/10 17:16:30.402,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,77,449.81,450.00,100,1604,24564
